,Id,PARK_NAME,BUILDING,Lat,Long,Wifi_Points,Wifi_Locs,Meal_Points,Meal_Loc,geometry,GeoID
0,PNR-0,Awbury Park and Recreation Center,Y,40.05386267,-75.16363419,0,,1,GM-5_,POINT (-8367177.484202688 4873772.545818277),421010038003
1,PNR-1,Daniel Boyle Memorial Recreation Center,Y,40.12284317,-75.00751075,0,,0,,POINT (-8349797.902360993 4883809.604761547),421010381001
2,PNR-2,Charles M Finley Playground,Y,40.06468648,-75.16983191,0,,0,,POINT (-8367867.411237167 4875346.799814607),421010380001
3,PNR-3,James Allen Shuler Playground,Y,40.00222123,-75.17476354,0,,5,GM-0_PM-38_PM-44_PM-49_PM-57_,POINT (-8368416.397777548 4866265.067843584),421019805001
4,PNR-4,Marian Anderson Recreation Center,Y,39.94211853,-75.17151936,0,,18,GM-1_GM-6_GM-7_GM-8_GM-14_GM-17_PM-0_PM-2_PM-3_PM-5_PM-6_PM-7_PM-8_PM-9_PM-12_PM-14_PM-23_PM-27_,POINT (-8368055.257311907 4857534.663564373),421010003001
5,PNR-5,Howard Sayre Morris Recreation Center,Y,39.95669258,-75.23856601,0,,2,PM-53_PM-54_,POINT (-8375518.856249301 4859650.95754565),421010184002
6,PNR-6,Nelson M Herron Playground and Recreation Center,Y,39.93069602,-75.14849567,0,,4,PM-8_PM-9_PM-12_PM-33_,POINT (-8365492.271864924 4855876.318959652),421010298004
7,PNR-7,James Otis Ford Playground,Y,39.92298858,-75.15744514,0,,2,PM-14_PM-33_,POINT (-8366488.522308193 4854757.492578008),421010366001
8,PNR-8,Frank Glavin Playground,Y,39.98646601,-75.10129625,0,,1,GM-12_,POINT (-8360238.056464786 4863975.751824249),421010002001
9,PNR-9,Lloyd Hall Recreation Center,Y,39.96905477,-75.18509125,0,,13,GM-3_GM-19_GM-20_PM-6_PM-17_PM-19_PM-20_PM-21_PM-22_PM-26_PM-28_PM-30_PM-36_,POINT (-8369566.073195809 4861446.42146734),421010367001
10,PNR-10,John C Anderson Cultural Center,Y,39.99521825,-75.23324251,1,WL-51_,0,,POINT (-8374926.246940062 4865247.432953358),421010280003
11,PNR-11,William A Cibotti Recreation Center,Y,39.90816103,-75.248617,0,,0,,POINT (-8376637.727338069 4852605.451876965),421010380002
12,PNR-12,J Francis Finnegan Playground,Y,39.9152726,-75.23174319,0,,0,,POINT (-8374759.343401127 4853637.552660442),421010042014
13,PNR-13,Commodore John Barry Playground,Y,39.915938,-75.17875813,0,,0,,POINT (-8368861.073502277 4853734.127516742),421010372003
14,PNR-14,Lawrence E Murphy Recreation Center,Y,39.91564174,-75.15406983,0,,1,PM-33_,POINT (-8366112.784517723 4853691.128803133),421010281002
15,PNR-15,Thomas I Guerin Recreation Center,Y,39.92287371,-75.17304961,0,,3,PM-14_PM-23_PM-33_,POINT (-8368225.603962693 4854740.818786899),421010278001
16,PNR-16,John J McCreesh Sr Playground,Y,39.92613768,-75.24019174,0,,1,PM-52_,POINT (-8375699.831685067 4855214.606595355),421010256003
17,PNR-17,A Giuseppe DiSilvestro Playground,Y,39.92914005,-75.16996239,1,WL-41_,6,GM-1_PM-8_PM-9_PM-14_PM-23_PM-33_,POINT (-8367881.936204324 4855650.441301082),421010263014
18,PNR-18,George A Vare Recreation Center,Y,39.93137988,-75.18886295,0,,4,PM-14_PM-23_PM-27_PM-29_,POINT (-8369985.936919233 4855975.595438529),421010263021
19,PNR-19,Columbus Square,Y,39.93325422,-75.16434979,0,,9,GM-1_PM-2_PM-3_PM-8_PM-9_PM-12_PM-14_PM-23_PM-33_,POINT (-8367257.144430299 4856247.699893733),421010263022
20,PNR-20,Solomon Sacks Playground,Y,39.93379046,-75.15121407,0,,6,GM-1_PM-8_PM-9_PM-12_PM-14_PM-33_,POINT (-8365794.882768696 4856325.549090003),421010263023
21,PNR-21,Dr Nicola Capitolo Playground,Y,39.93400587,-75.15948203,0,,8,GM-1_PM-2_PM-3_PM-8_PM-9_PM-12_PM-14_PM-33_,POINT (-8366715.267865796 4856356.821631127),421010264002
22,PNR-22,Donald P Finnegan Recreation Center,Y,39.93774622,-75.19293309,0,,9,GM-19_GM-21_GM-22_PM-14_PM-23_PM-27_PM-29_PM-46_PM-47_,POINT (-8370439.022831491 4856899.849483368),421010363011
23,PNR-23,Charles H Chew Jr Playground,Y,39.93816825,-75.174181,0,,16,GM-1_GM-6_GM-7_GM-17_PM-0_PM-2_PM-3_PM-5_PM-6_PM-7_PM-8_PM-9_PM-14_PM-23_PM-27_PM-29_,POINT (-8368351.549721383 4856961.122095266),421010363022
24,PNR-24,Weccacoe Square,Y,39.93784436,-75.15084259,0,,7,GM-1_GM-18_PM-3_PM-8_PM-9_PM-12_PM-33_,POINT (-8365753.529804256 4856914.097948884),421010264006
25,PNR-25,48th and Woodland Playground,Y,39.94195648,-75.20980829,0,,10,GM-19_GM-20_GM-21_GM-22_PM-27_PM-29_PM-46_PM-47_PM-52_PM-54_,POINT (-8372317.561502525 4857511.134860624),421010264007
26,PNR-26,Walter Palumbo Recreation Center,Y,39.94136194,-75.15848785,0,,18,GM-1_GM-6_GM-7_GM-8_GM-14_GM-16_GM-17_GM-18_PM-0_PM-1_PM-2_PM-3_PM-5_PM-7_PM-8_PM-9_PM-12_PM-14_,POINT (-8366604.596254438 4857424.811638238),421010264004
27,PNR-27,Kingsessing Recreation Center,Y,39.94284846,-75.21701254,0,,6,GM-22_PM-46_PM-47_PM-52_PM-53_PM-54_,POINT (-8373119.534944072 4857640.645783898),421010265002
28,PNR-28,Albert W Christy Sr Recreation Center,Y,39.94889501,-75.23441297,0,,3,PM-52_PM-53_PM-54_,POINT (-8375056.541951257 4858518.618365554),421010265003
29,PNR-29,Northern Liberties Recreation Center,Y,39.96275069,-75.14346019,0,,17,GM-2_GM-6_GM-9_GM-11_GM-14_GM-16_GM-18_PM-0_PM-1_PM-4_PM-10_PM-11_PM-13_PM-15_PM-16_PM-18_PM-24_,POINT (-8364931.724795424 4860530.786806715),421010265004
30,PNR-30,Mill Creek Playground and Recreation Center,Y,39.96598037,-75.21581737,0,,14,GM-3_GM-20_GM-22_PM-17_PM-19_PM-20_PM-21_PM-22_PM-28_PM-30_PM-36_PM-40_PM-53_PM-54_,POINT (-8372986.489228261 4860999.870393425),421010265005
31,PNR-31,Roberto Clemente Playground,Y,39.96571906,-75.16793882,0,,24,GM-2_GM-6_GM-7_GM-8_GM-9_GM-11_GM-14_GM-16_GM-17_PM-0_PM-1_PM-2_PM-3_PM-4_PM-5_PM-6_PM-7_PM-10_PM-11_PM-13_PM-16_PM-18_PM-25_PM-26_,POINT (-8367656.673422341 4860961.916511599),421010363031
32,PNR-32,Miles Mack Playground,Y,39.96747897,-75.19562178,0,,13,GM-3_GM-19_GM-20_GM-21_PM-17_PM-19_PM-20_PM-21_PM-22_PM-28_PM-30_PM-36_PM-40_,POINT (-8370738.326433191 4861217.53684101),421010363033
33,PNR-33,William T Granahan Playground,Y,39.96935865,-75.25039597,0,,0,,POINT (-8376835.761372606 4861490.560581773),421010363032
34,PNR-34,Francisville Recreation Center,Y,39.96849538,-75.16712929,0,,21,GM-2_GM-4_GM-6_GM-7_GM-8_GM-9_GM-11_GM-14_GM-16_PM-0_PM-1_PM-4_PM-6_PM-10_PM-11_PM-13_PM-16_PM-18_PM-25_PM-26_PM-32_,POINT (-8367566.556954959 4861365.169580686),421010255003
