Id,PARK_NAME,BUILDING,Lat,Long,Wifi_Points,Wifi_Locs,Meal_Points,Meal_Loc
PNR-0,Awbury Park and Recreation Center,Y,40.05386267,-75.16363419,0,,1,GM-5_
PNR-1,Daniel Boyle Memorial Recreation Center,Y,40.12284317,-75.00751075,0,,0,
PNR-2,Charles M Finley Playground,Y,40.06468648,-75.16983191,0,,0,
PNR-3,James Allen Shuler Playground,Y,40.00222123,-75.17476354,0,,5,GM-0_PM-38_PM-44_PM-49_PM-57_
PNR-4,Marian Anderson Recreation Center,Y,39.94211853,-75.17151936,0,,18,GM-1_GM-6_GM-7_GM-8_GM-14_GM-17_PM-0_PM-2_PM-3_PM-5_PM-6_PM-7_PM-8_PM-9_PM-12_PM-14_PM-23_PM-27_
PNR-5,Howard Sayre Morris Recreation Center,Y,39.95669258,-75.23856601,0,,2,PM-53_PM-54_
PNR-6,Nelson M Herron Playground and Recreation Center,Y,39.93069602,-75.14849567,0,,4,PM-8_PM-9_PM-12_PM-33_
PNR-7,James Otis Ford Playground,Y,39.92298858,-75.15744514,0,,2,PM-14_PM-33_
PNR-8,Frank Glavin Playground,Y,39.98646601,-75.10129625,0,,1,GM-12_
PNR-9,Lloyd Hall Recreation Center,Y,39.96905477,-75.18509125,0,,13,GM-3_GM-19_GM-20_PM-6_PM-17_PM-19_PM-20_PM-21_PM-22_PM-26_PM-28_PM-30_PM-36_
PNR-10,John C Anderson Cultural Center,Y,39.99521825,-75.23324251,1,WL-51_,0,
PNR-11,William A Cibotti Recreation Center,Y,39.90816103,-75.248617,0,,0,
PNR-12,J Francis Finnegan Playground,Y,39.9152726,-75.23174319,0,,0,
PNR-13,Commodore John Barry Playground,Y,39.915938,-75.17875813,0,,0,
PNR-14,Lawrence E Murphy Recreation Center,Y,39.91564174,-75.15406983,0,,1,PM-33_
PNR-15,Thomas I Guerin Recreation Center,Y,39.92287371,-75.17304961,0,,3,PM-14_PM-23_PM-33_
PNR-16,John J McCreesh Sr Playground,Y,39.92613768,-75.24019174,0,,1,PM-52_
PNR-17,A Giuseppe DiSilvestro Playground,Y,39.92914005,-75.16996239,1,WL-41_,6,GM-1_PM-8_PM-9_PM-14_PM-23_PM-33_
PNR-18,George A Vare Recreation Center,Y,39.93137988,-75.18886295,0,,4,PM-14_PM-23_PM-27_PM-29_
PNR-19,Columbus Square,Y,39.93325422,-75.16434979,0,,9,GM-1_PM-2_PM-3_PM-8_PM-9_PM-12_PM-14_PM-23_PM-33_
PNR-20,Solomon Sacks Playground,Y,39.93379046,-75.15121407,0,,6,GM-1_PM-8_PM-9_PM-12_PM-14_PM-33_
PNR-21,Dr Nicola Capitolo Playground,Y,39.93400587,-75.15948203,0,,8,GM-1_PM-2_PM-3_PM-8_PM-9_PM-12_PM-14_PM-33_
PNR-22,Donald P Finnegan Recreation Center,Y,39.93774622,-75.19293309,0,,9,GM-19_GM-21_GM-22_PM-14_PM-23_PM-27_PM-29_PM-46_PM-47_
PNR-23,Charles H Chew Jr Playground,Y,39.93816825,-75.174181,0,,16,GM-1_GM-6_GM-7_GM-17_PM-0_PM-2_PM-3_PM-5_PM-6_PM-7_PM-8_PM-9_PM-14_PM-23_PM-27_PM-29_
PNR-24,Weccacoe Square,Y,39.93784436,-75.15084259,0,,7,GM-1_GM-18_PM-3_PM-8_PM-9_PM-12_PM-33_
PNR-25,48th and Woodland Playground,Y,39.94195648,-75.20980829,0,,10,GM-19_GM-20_GM-21_GM-22_PM-27_PM-29_PM-46_PM-47_PM-52_PM-54_
PNR-26,Walter Palumbo Recreation Center,Y,39.94136194,-75.15848785,0,,18,GM-1_GM-6_GM-7_GM-8_GM-14_GM-16_GM-17_GM-18_PM-0_PM-1_PM-2_PM-3_PM-5_PM-7_PM-8_PM-9_PM-12_PM-14_
PNR-27,Kingsessing Recreation Center,Y,39.94284846,-75.21701254,0,,6,GM-22_PM-46_PM-47_PM-52_PM-53_PM-54_
PNR-28,Albert W Christy Sr Recreation Center,Y,39.94889501,-75.23441297,0,,3,PM-52_PM-53_PM-54_
PNR-29,Northern Liberties Recreation Center,Y,39.96275069,-75.14346019,0,,17,GM-2_GM-6_GM-9_GM-11_GM-14_GM-16_GM-18_PM-0_PM-1_PM-4_PM-10_PM-11_PM-13_PM-15_PM-16_PM-18_PM-24_
PNR-30,Mill Creek Playground and Recreation Center,Y,39.96598037,-75.21581737,0,,14,GM-3_GM-20_GM-22_PM-17_PM-19_PM-20_PM-21_PM-22_PM-28_PM-30_PM-36_PM-40_PM-53_PM-54_
PNR-31,Roberto Clemente Playground,Y,39.96571906,-75.16793882,0,,24,GM-2_GM-6_GM-7_GM-8_GM-9_GM-11_GM-14_GM-16_GM-17_PM-0_PM-1_PM-2_PM-3_PM-4_PM-5_PM-6_PM-7_PM-10_PM-11_PM-13_PM-16_PM-18_PM-25_PM-26_
PNR-32,Miles Mack Playground,Y,39.96747897,-75.19562178,0,,13,GM-3_GM-19_GM-20_GM-21_PM-17_PM-19_PM-20_PM-21_PM-22_PM-28_PM-30_PM-36_PM-40_
PNR-33,William T Granahan Playground,Y,39.96935865,-75.25039597,0,,0,
PNR-34,Francisville Recreation Center,Y,39.96849538,-75.16712929,0,,21,GM-2_GM-4_GM-6_GM-7_GM-8_GM-9_GM-11_GM-14_GM-16_PM-0_PM-1_PM-4_PM-6_PM-10_PM-11_PM-13_PM-16_PM-18_PM-25_PM-26_PM-32_
PNR-35,Samuel Rose Recreation Center,Y,39.97312812,-75.26015319,0,,0,
PNR-36,Charles A Papa Playground,Y,39.97445813,-75.25630045,0,,0,
PNR-37,Fishtown Recreation Center,Y,39.97185194,-75.12780419,1,WL-11_,9,GM-9_GM-13_PM-13_PM-15_PM-18_PM-24_PM-42_PM-43_PM-45_
PNR-38,Narcissa S Cruz Recreation Center,Y,39.97323548,-75.14534802,0,,16,GM-2_GM-9_GM-11_GM-13_PM-4_PM-10_PM-11_PM-13_PM-15_PM-16_PM-18_PM-24_PM-34_PM-35_PM-43_PM-45_
PNR-39,Conestoga Community Playground,Y,39.97551667,-75.22811203,0,,2,PM-40_PM-53_
PNR-40,Dan Shissler Recreation Center,Y,39.97756361,-75.13233696,0,,13,GM-9_GM-13_PM-13_PM-15_PM-16_PM-18_PM-24_PM-34_PM-35_PM-41_PM-42_PM-43_PM-45_
PNR-41,Ernest L Tustin Recreation Center,Y,39.98186735,-75.24070891,0,,0,
PNR-42,Dr Martin Luther King Jr Recreation Center,Y,39.98081653,-75.16995131,0,,13,GM-0_GM-4_PM-10_PM-16_PM-18_PM-25_PM-26_PM-32_PM-34_PM-38_PM-39_PM-44_PM-49_
PNR-43,Parkside Evans Recreation Center,Y,39.98326167,-75.22658553,0,,0,
PNR-44,Fletcher B Amos Playground,Y,39.98171659,-75.16029959,0,,17,GM-0_GM-4_GM-9_PM-10_PM-13_PM-15_PM-16_PM-18_PM-25_PM-26_PM-32_PM-34_PM-35_PM-38_PM-39_PM-41_PM-44_
PNR-45,Frederick Cione Playground,Y,39.98101037,-75.1184313,0,,6,GM-12_GM-13_PM-24_PM-42_PM-43_PM-45_
PNR-46,8th and Diamond Playground,Y,39.98323717,-75.14745045,0,,23,GM-0_GM-4_GM-9_GM-10_GM-13_PM-10_PM-13_PM-15_PM-16_PM-18_PM-24_PM-25_PM-32_PM-34_PM-35_PM-38_PM-39_PM-41_PM-42_PM-43_PM-45_PM-50_PM-55_
PNR-47,Reverend M Monkiewicz Recreation Center,Y,39.98298027,-75.10022755,0,,1,GM-12_
PNR-48,Cohocksink Recreation Center,Y,39.98412862,-75.11255696,0,,5,GM-12_GM-13_PM-42_PM-43_PM-45_
PNR-49,Eric W (Hank) Gathers Jr Recreation Center,Y,39.98759003,-75.17484853,0,,9,GM-0_GM-4_PM-25_PM-26_PM-32_PM-38_PM-39_PM-44_PM-49_
PNR-50,Bernard Samuel Playground,Y,39.99068624,-75.0970003,0,,1,GM-12_
PNR-51,12th and Cambria Playground,Y,39.99681664,-75.14978668,0,,16,GM-0_GM-4_GM-10_GM-13_PM-32_PM-34_PM-35_PM-38_PM-39_PM-41_PM-43_PM-44_PM-45_PM-50_PM-55_PM-57_
PNR-52,Robert T Heitzman Recreation Center,Y,39.99770506,-75.09865666,0,,1,GM-12_
PNR-53,Ramonita Negron Rivera Recreation and Community Center,Y,40.00044753,-75.13762017,0,,11,GM-10_GM-13_PM-34_PM-35_PM-39_PM-41_PM-43_PM-45_PM-50_PM-55_PM-57_
PNR-54,Sergeant John J McVeigh Recreation Center,Y,40.00016946,-75.12154861,0,,8,GM-10_GM-12_GM-13_PM-42_PM-43_PM-45_PM-50_PM-55_
PNR-55,Bridesburg Recreation Center,Y,39.99952346,-75.06818741,0,,0,
PNR-56,Vincent G Panati Playground,Y,40.00214183,-75.16578241,0,,9,GM-0_GM-4_GM-10_PM-32_PM-38_PM-39_PM-44_PM-49_PM-57_
PNR-57,John (Steve) Schmidt Playground,Y,40.0018467,-75.1292342,0,,8,GM-10_GM-12_GM-13_PM-41_PM-43_PM-45_PM-50_PM-55_
PNR-58,Joseph A Scanlon Playground,Y,40.00145766,-75.10836046,0,,1,GM-12_
PNR-59,Jerome Brown Playground,Y,40.0062418,-75.16140023,0,,6,GM-0_GM-10_PM-38_PM-39_PM-44_PM-57_
PNR-60,Gustine Recreation Center,Y,40.01335603,-75.20358875,0,,0,
PNR-61,Carmella A DiTizio Playground,Y,40.01112118,-75.07311198,0,,0,
PNR-62,Boniface Piccoli Playground,Y,40.01279776,-75.09687267,0,,0,
PNR-63,Hunting Park,Y,40.01766214,-75.14365306,0,,0,
PNR-64,American Legion Playground,Y,40.0184248,-75.05427955,0,,0,
PNR-65,Feltonville Recreation Center,Y,40.02161957,-75.12093218,0,,0,
PNR-66,Private Alfred J Simpson Memorial Recreation Center,Y,40.02152856,-75.09312462,0,,0,
PNR-67,Frank JG Dorsey Memorial Playground,Y,40.02131385,-75.04857506,0,,0,
PNR-68,Stenton Park,Y,40.02449835,-75.15231546,0,,1,GM-15_
PNR-69,Joseph C McIlvain Playground,Y,40.02423598,-75.08013192,0,,0,
PNR-70,W Freeland Kendrick Recreation Center,Y,40.02882834,-75.21135314,0,,0,
PNR-71,Franklin Delano Roosevelt Playground,Y,40.02582097,-75.0542344,0,,0,
PNR-72,Joseph F Vogt Playground,Y,40.02812492,-75.04916539,0,,0,
PNR-73,Disston Recreation Center,Y,40.02838246,-75.04404779,0,,0,
PNR-74,Lower Mayfair Playground,Y,40.02938936,-75.06126381,0,,0,
PNR-75,Edward Houseman Playground,Y,40.02970474,-75.09367576,0,,0,
PNR-76,John L Barrett Playground,Y,40.03127737,-75.13567434,0,,0,
PNR-77,Wister Playground,Y,40.03237743,-75.16026612,0,,2,GM-5_GM-15_
PNR-78,Hillside Recreation Center,Y,40.03395115,-75.22908718,0,,0,
PNR-79,Charles A Russo Playground,Y,40.03006659,-75.03342486,0,,0,
PNR-80,Charles J Ziehler Playground,Y,40.03411018,-75.11808114,0,,0,
PNR-81,Senator William Vincent Mullin Playground,Y,40.03223139,-75.04212234,0,,0,
PNR-82,A Albert Cherashore Playground,Y,40.03830509,-75.13680121,0,,0,
PNR-83,Holmesburg Recreation Center,Y,40.03610125,-75.02714042,0,,0,
PNR-84,Max Myers Playground,Y,40.03874115,-75.07038813,0,,0,
PNR-85,Belfield Recreation Center,Y,40.0421738,-75.15630331,0,,2,GM-5_GM-15_
PNR-86,Seymour Tarken Recreation Center,Y,40.04072222,-75.08218162,0,,0,
PNR-87,Mayfair Recreation Center,Y,40.03988168,-75.05308337,0,,0,
PNR-88,Olney Recreation Center,Y,40.04253855,-75.11687037,0,,0,
PNR-89,Waterview Recreation Center,Y,40.0454222,-75.16868647,0,,2,GM-5_GM-15_
PNR-90,Lawncrest Recreation Center,Y,40.04615633,-75.10132019,1,WL-24_,0,
PNR-91,Daniel E Rumph II Recreation Center,Y,40.04773278,-75.17968609,0,,2,GM-5_GM-15_
PNR-92,Helen G Sturgis Playground,Y,40.04910704,-75.12381393,0,,0,
PNR-93,Morris Estate Cultural Center,Y,40.05054228,-75.14636289,0,,0,
PNR-94,James J Ramp Playground,Y,40.04789742,-75.02456936,0,,0,
PNR-95,George Jacobs Playground,Y,40.0514017,-75.00196045,0,,0,
PNR-96,Mount Airy Playground,Y,40.05773574,-75.18802029,0,,0,
PNR-97,Pleasant Playground,Y,40.05709209,-75.18239753,0,,0,
PNR-98,Thomas E Jardel Memorial Field,Y,40.05623383,-75.07642177,0,,0,
PNR-99,Thomas Holme School Playground,Y,40.05613179,-75.01156663,0,,0,
PNR-100,William B Simons Recreation Center,Y,40.06157006,-75.15748535,0,,0,
PNR-101,George C Pelbano Playground,Y,40.06174095,-75.05077936,0,,0,
