Id,Name,Address,Lat,Long
WL-0,Andorra Library,"705 East Cathedral Road Philadelphia, PA 19128-2106 ",40.06489,-75.23608
WL-1,Blanche A. Nixon/Cobbs Creek Library,"5800 Cobbs Creek Parkway Philadelphia, PA 19143-3036 ",39.94588,-75.24119
WL-2,Bushrod Library,"6304 Castor Avenue Philadelphia, PA 19149-2731 ",40.03832,-75.07865
WL-3,Bustleton Library,"10199 Bustleton Avenue Philadelphia, PA 19116-3718 ",40.10835,-75.02615
WL-4,Cecil B. Moore Library,"2320 Cecil B. Moore Avenue Philadelphia, PA 19121-2927 ",39.9806,-75.17333
WL-5,Charles L. Durham Library,"3320 Haverford Avenue Philadelphia, PA 19104-2021 ",39.96404,-75.19088
WL-6,Charles Santore Library,"932 South 7th Street Philadelphia, PA 19147-2932 ",39.93713,-75.15514
WL-7,Chestnut Hill Library,"8711 Germantown Avenue Philadelphia, PA 19118-2716 ",40.07789,-75.21013
WL-8,David Cohen Ogontz Library,"6017 Ogontz Avenue Philadelphia, PA 19141 ",40.0473,-75.15095
WL-9,Eastwick Library,"2851 Island Avenue Philadelphia, PA 19153-2314 ",39.90695,-75.24078
WL-10,Falls of Schuylkill Library,"3501 Midvale Avenue Philadelphia, PA 19129-1633 ",40.01425,-75.19197
WL-11,Fishtown Community Library,"1217 East Montgomery Avenue Philadelphia, PA 19125-3445 ",39.97205,-75.12736
WL-12,Fox Chase Library,"501 Rhawn Street Philadelphia, PA 19111-2504 ",40.07653,-75.08201
WL-13,Frankford Library,"4634 Frankford Avenue Philadelphia, PA 19124-5804 ",40.01533,-75.08516
WL-14,Fumo Family Library,"2437 South Broad Street Philadelphia, PA 19148-3508 ",39.92001,-75.17046
WL-15,Greater Olney Library,"5501 North 5th Street Philadelphia, PA 19120-2805 ",40.03559,-75.13058
WL-16,Haddington Library,"446 North 65th Street Philadelphia, PA 19151-4003 ",39.97012,-75.24945
WL-17,Haverford Library,"5543 Haverford Avenue Philadelphia, PA 19139-1432 ",39.96728,-75.23086
WL-18,Holmesburg Library,"7810 Frankford Avenue Philadelphia, PA 19136-3013 ",40.04042,-75.03111
WL-19,Independence Library,"18 S. 7th Street Philadelphia, PA 19106 ",39.95043,-75.15223
WL-20,Joseph E. Coleman Northwest Regional Library,"68 West Chelten Avenue Philadelphia, PA 19144-2795 ",40.03458,-75.17585
WL-21,Katharine Drexel Library,"11099 Knights Road Philadelphia, PA 19154-3516 ",40.08404,-74.97401
WL-22,Kensington Library,"104 West Dauphin Street Philadelphia, PA 19133-3701 ",39.98479,-75.13275
WL-23,Kingsessing Library,"1201 South 51st Street Philadelphia, PA 19143-4353 ",39.94219,-75.21862
WL-24,Lawncrest Library,"6098 Rising Sun Avenue Philadelphia, PA 19111-6009 ",40.04563,-75.1004
WL-25,Library of Accessible Media for Pennsylvanians (LAMP),"1500 Spring Garden Street, Suite 230 Philadelphia, PA 19130-4067 ",39.96251,-75.16313
WL-26,Lillian Marrero Library,"601 West Lehigh Avenue Philadelphia, PA 19133-2228 ",39.99243,-75.14215
WL-27,Logan Library,"1333 Wagner Avenue Philadelphia, PA 19141-2916 ",40.03227,-75.14401
WL-28,Lovett Memorial Library,"6945 Germantown Avenue Philadelphia, PA 19119-2189 ",40.05615,-75.18754
WL-29,Lucien E. Blackwell West Philadelphia Regional Library,"125 South 52nd Street Philadelphia, PA 19139-3408 ",39.95733,-75.22532
WL-30,McPherson Square Library,"601 East Indiana Avenue Philadelphia, PA 19134-3042 ",39.99413,-75.11898
WL-31,Nicetown-Tioga Library,"3720 North Broad Street Philadelphia, PA 19140-3608 ",40.00895,-75.15144
WL-32,Northeast Regional Library,"2228 Cottman Avenue Philadelphia, PA 19149-1297 ",40.04851,-75.06144
WL-33,Oak Lane Library,"6614 North 12th Street Philadelphia, PA 19126-3299 ",40.05338,-75.13783
WL-34,Overbrook Park Library,"7422 Haverford Avenue Philadelphia, PA 19151-2995 ",39.9767,-75.26483
WL-35,Paschalville Library,"6942 Woodland Avenue Philadelphia, PA 19142-1823 ",39.92099,-75.24067
WL-36,Philadelphia City Institute,"1905 Locust Street Philadelphia, PA 19103-5730 ",39.94941,-75.17352
WL-37,Queen Memorial Library,"1201 South 23rd Street Philadelphia, PA 19146-4316 ",39.93806,-75.18172
WL-38,Ramonita G. de Rodriguez Library,"600 West Girard Avenue Philadelphia, PA 19123-1311 ",39.97031,-75.14699
WL-39,Richmond Library,"2987 Almond Street Philadelphia, PA 19134-4955 ",39.98278,-75.10879
WL-40,Roxborough Library,"6245 Ridge Avenue Philadelphia, PA 19128-2630 ",40.03652,-75.21825
WL-41,South Philadelphia Library,"1700 South Broad Street Philadelphia, PA 19145-2392 ",39.92907,-75.16959
WL-42,Tacony Library,"6742 Torresdale Avenue Philadelphia, PA 19135-2416 ",40.02479,-75.04568
WL-43,"Thomas F. Donatucci, Sr. Library","1935 Shunk Street Philadelphia, PA 19145-4234 ",39.91942,-75.18018
WL-44,Torresdale Library,"3079 Holme Avenue Philadelphia, PA 19136-1101 ",40.0567,-75.0184
WL-45,Wadsworth Library,"1500 Wadsworth Avenue Philadelphia, PA 19150-1699 ",40.07889,-75.17399
WL-46,Walnut Street West,"201 South 40th Street Philadelphia, PA 19104 ",39.9541,-75.20247
WL-47,Welsh Road Library,"9233 Roosevelt Boulevard Philadelphia, PA 19114-2205 ",40.07478,-75.03402
WL-48,West Oak Lane Library,"2000 E Washington Lane Philadelphia, PA 19138-1344 ",40.0674,-75.15772
WL-49,Whitman Library,"200 Snyder Avenue Philadelphia, PA 19148-2620 ",39.92176,-75.15017
WL-50,Widener Library,"2808 West Lehigh Avenue Philadelphia, PA 19132-3296 ",39.99689,-75.17814
WL-51,Wynnefield Library,"5325 Overbrook Avenue Philadelphia, PA 19131-1498 ",39.99494,-75.23351
